412,32.11,3211,Сечене на монети,3211
413,32.12,3212,Производство на бижутерийни и подобни изделия от благородни метали,3212
414,32.13,3213,Производство на бижута имитация,3213
415,32.2,322,Производство на музикални инструменти,322
416,32.20,3220,Производство на музикални инструменти,3220
417,32.3,323,Производство на спортни стоки,323
418,32.30,3230,Производство на спортни стоки,3230
419,32.4,324,Производство на игри и детски играчки,324
420,32.40,3240,Производство на игри и детски играчки,3240
421,32.5,325,Производство на медицински и зъболекарски инструменти и средства,325
422,32.50,3250,Производство на медицински и зъболекарски инструменти и средства,3250
423,32.9,329,Разнообразни производства некласифицирани другаде,329
424,32.91,3291,Производство на метли и четки,3291
425,32.99,3299,Други разнообразни производства некласифицирани другаде,3299
426,33,33,Ремонт и инсталиране на машини и оборудване,33
427,33.1,331,Ремонт на метални изделия машини и оборудване,331
428,33.11,3311,Ремонт на метални изделия,3311
429,33.12,3312,Ремонт на машини и оборудване с общо и специално предназначение,3312
430,33.13,3313,Ремонт на електронни и оптични уреди и апарати,3313
431,33.14,3314,Ремонт на електрически съоръжения,3314
432,33.15,3315,Ремонт и поддържане на плавателни съдове,3315
433,33.16,3316,Ремонт и поддържане на въздухоплавателни и космически средства,3316
434,33.17,3317,Ремонт и поддържане на други превозни средства,3317
435,33.19,3319,Ремонт на друго оборудване,3319
436,33.2,332,Инсталиране на машини и оборудване,332
437,33.20,3320,Инсталиране на машини и оборудване,3320
438,D,D,ПРОИЗВОДСТВО И РАЗПРЕДЕЛЕНИЕ НА ЕЛЕКТРИЧЕСКА И ТОПЛИННА ЕНЕРГИЯ И НА ГАЗООБРАЗНИ ГОРИВА,0
439,35,35,Производство и разпределение на електрическа и топлинна енергия и на газообразни горива,35
440,35.1,351,Производство пренос и разпределение на електрическа енергия,351
441,35.11,3511,Производство на електрическа енергия,3511
442,35.12,3512,Пренос на електрическа енергия,3512
443,35.13,3513,Разпределение на електрическа енергия,3513
444,35.14,3514,Търговия с електрическа енергия,3514
445,35.2,352,Производство и разпределение на газообразни горива по газоразпределителните мрежи,352
446,35.21,3521,Производство на газообразни горива,3521
447,35.22,3522,Разпределение на газообразни горива по газоразпределителните мрежи,3522
448,35.23,3523,Търговия с газообразни горива по газоразпределителните мрежи,3523
449,35.3,353,Производство и разпределение на топлинна енергия,353
450,35.30,3530,Производство и разпределение на топлинна енергия,3530
451,E,E,ДОСТАВЯНЕ НА ВОДИ КАНАЛИЗАЦИОННИ УСЛУГИ УПРАВЛЕНИЕ НА ОТПАДЪЦИ И ВЪЗСТАНОВЯВАНЕ,0
452,36,36,Събиране пречистване и доставяне на води,36
453,36.0,360,Събиране пречистване и доставяне на води,360
454,36.00,3600,Събиране пречистване и доставяне на води,3600
455,37,37,Събиране отвеждане и пречистване на отпадъчни води,37
456,37.0,370,Събиране отвеждане и пречистване на отпадъчни води,370
457,37.00,3700,Събиране отвеждане и пречистване на отпадъчни води,3700
458,38,38,Събиране и обезвреждане на отпадъци рециклиране на материали,38
459,38.1,381,Събиране на отпадъци,381
460,38.11,3811,Събиране на неопасни отпадъци,3811
461,38.12,3812,Събиране на опасни отпадъци,3812
462,38.2,382,Обработване и обезвреждане на отпадъци,382
463,38.21,3821,Обработване и обезвреждане на неопасни отпадъци,3821
464,38.22,3822,Обработване и обезвреждане на опасни отпадъци,3822
465,38.3,383,Рециклиране на материали,383
466,38.31,3831,Разкомплектоване на отпадъци,3831
467,38.32,3832,Рециклиране на сортирани отпадъци,3832
468,39,39,Възстановяване и други услуги по управление на отпадъци,39
469,39.0,390,Възстановяване и други услуги по управление на отпадъци,390
